task_round,column_name,sample_size,mean,std,std_error,ci_lower,ci_upper,min,max
0,sus,15,49.666666666666664,16.428295373802143,4.241767625954137,37.03959152955078,62.293741803782545,20.0,87.5
0,effect,15,35.18666666666666,7.9610607891718095,2.0555370569738196,29.067656113914826,41.3056772194185,20.6,47.8
0,easy,15,39.626666666666665,10.431712334138735,2.693456542836388,31.60867012747596,47.64466320585737,22.0,60.2
0,easy_learn,15,16.12,4.425260820938505,1.1425974308079327,12.718667140083614,19.521332859916388,8.6,23.6
0,satisfaction,15,29.133333333333333,8.081803979035595,2.0867128145411797,22.921517453186645,35.34514921348002,18.0,42.0
1,sus,15,76.5,9.119576013536301,2.3546644016599148,69.49053438464495,83.50946561535505,60.0,90.0
1,effect,15,49.480000000000004,4.167685208841955,1.076091693738658,46.2766442602551,52.68335573974491,43.8,54.6
1,easy,15,61.66666666666667,5.206491674396067,1.3443103698069023,57.66486610991469,65.66846722341865,51.0,67.2
1,easy_learn,15,25.520000000000003,1.6293966163378806,0.4207083972962218,24.267617264328564,26.772382735671442,21.0,26.6
1,satisfaction,15,46.6,2.8,0.7229568912920511,44.44787103108058,48.75212896891942,40.0,49.0
