样本数据,任务组,W 值,p 值,通过检验
鼠标移动距离,WIMP,0.9247,0.2269,通过
鼠标移动距离,M-CAT,0.8778,0.0441,拒绝
鼠标点击次数,WIMP,0.9532,0.5758,通过
鼠标点击次数,M-CAT,0.9044,0.1111,通过
键盘按键次数,WIMP,0.9313,0.2852,通过
键盘按键次数,M-CAT,0.8875,0.0614,通过
任务时长,WIMP,0.9687,0.8385,通过
任务时长,M-CAT,0.9350,0.3241,通过
