task_round,column_name,sample_size,mean,std,std_error,ci_lower,ci_upper,min,max
0,mouse_distance,21,175176.19047619047,51722.282734785134,11286.727416574307,151632.4896459633,198719.89130641764,98043.0,269443.0
0,mouse_click,21,337.9047619047619,70.72004145246628,15.432378243159118,305.71338498515144,370.0961388243724,228.0,508.0
0,keyboard_press,21,346.57142857142856,111.41495643317734,24.312736733582966,295.85594844217707,397.28690870068004,47.0,580.0
0,duration,21,819.8026666666667,187.54693131113135,40.926095670949664,734.4323270577611,905.1730062755723,474.63,1143.378
0,cost,21,287.1132857142858,63.86125114066981,13.935667491747829,258.043992713249,316.18257871532256,202.308,406.428
1,mouse_distance,21,20160.380952380954,11853.93970063556,2586.741712457363,14764.532292677059,25556.229612084848,3804.0,53879.0
1,mouse_click,21,15.380952380952381,12.662190401334092,2.7631164751455595,9.617192413260721,21.144712348644042,2.0,59.0
1,keyboard_press,21,1032.2857142857142,439.2027563944582,95.84189888623119,832.3630164924876,1232.208412078941,28.0,2372.0
1,duration,21,445.8780476190477,134.16859802093222,29.277988396048773,384.80523401541666,506.9508612226788,253.813,794.629
1,cost,21,229.1720952380952,97.3121883619953,21.235260438602104,184.87611817000092,273.46807230618947,26.671,536.896
