样本数据,检验方法,统计量,值,p,通过（p<0.05）
鼠标移动距离,Welch's t,t,11.254,1.051e-08,通过
鼠标移动距离,Kruskal-Wallis,H,21.774,3.067e-06,通过
鼠标点击次数,Welch's t,t,17.451,4.887e-11,通过
键盘按键次数,Welch's t,t,-9.502,1.407e-08,通过
任务时长,ANOVA,F,11.380,2.187e-03,通过
