样本数据,F,p
鼠标移动距离,170.684,5.129e-16
鼠标点击次数,403.055,1.697e-22
键盘按键次数,45.804,3.953e-08
任务时长,52.588,8.386e-09
操作成本,4.956,3.170e-02
